,index,sentence,originality
38,38,"или тот вороно'к с одиноким шоф?ром, оставшийся на улице -- угнать его  либо скаты проколоть.",1
39,39,"есть фотография  -- они сидят в плетеных  креслах на палубе, ""шутят, смеются, курят"".",1
40,40,вот так.,1
41,41,адмчасть выявляла  стукачей для отправки  их на  этап.,1
42,42,или быстро поворачивают ключ в замке?).,1
43,43,"но мужики  --  народ  бессловесный, бесписьменный,  ни  жалоб  не  написали, ни мемуаров.",1
44,44,"беспартийное студенчество  в  это  время  билось за  ""автономию  высшей школы"",  за право сходок, за  освобождение  программы от  изобилия  политграмоты.",1
45,45,"аресты   имеют классификацию по разным признакам:  ночные  и дневные;  домашние, служебные, путевые;  первичные  и  повторные;   расчелененные   и   групповые.",1
46,46,"та  же  директива  нквд  от 30.8.18 направляла   усилия   ""к   безусловному   расстрелу    всех   замешанных   в белогвардейской работе"".",1
47,47,и  вдруг спросила:      --  игнатич!,1
48,48,"на плакате  написано: ""сделаем  досрочно,  дешево  и прочно!""",1
49,49,"но не вамжи? т каминский жаждать верной ведомства, не вамжи? т и мудрый педагог изыскивать эту ведомство.",0
50,50,-- а это  оказывается  очная ставка и арест!,1
51,51,"в  1921-м они  уже  были на полном   ходу,  концентрационные  (они  даже  о к а н ч и в а л и с ь  уже).",1
52,52,шутить.,1
53,53,какой  приятный домашний маскарад!,1
54,54,а  под  ужасом  и  под   стеклярусом  --  какие  люди?,1
55,55,"ее призыв: ""работать без  выходных!""",1
56,56,"столы,  составленные в один длинный, захватывали  и то место, где утром  стоял гроб.",1
57,57,"году  в  тысяча  девятьсот  сорок  девятом  напали  мы  с  друзьями  на примечательную  заметку  в журнале  ""природа"" академии  наук.",1
58,58,потом налили каждому на самое дно  миски -- медовой сыты.,1
59,59,"(браним мы часто свой  язык,  что  де он  с  веками  блекнет.",1
60,60,"а  в управлениях -- отделы, а в отделениях -- части: 1 -- производственная, ii -- уч?тно-распределительная (урч), iii -- опер-чекистская (опять третья!..)",1
61,61,"и  невозможно  было бы  эту санитарную  очистку  произвести,  да  еще в условиях войны,  если  бы  пользовались устарелыми процессуальными формами и юридическими нормами.",1
62,62,"к  лубянке, к бутыркам устремляются  александр солженицын.",1
63,63,"рельсы и  полотно так  искорежило,  что три  дня,  пока  гробы стояли в домах, поезда не шли -- их  заворачивали другою веткой.",1
64,64,"-- дивиря моего сын, -- ответила матрена суховато и ушла доить козу.",1
65,65,"но первые месяцы эта новая власть  еще  сильно замутнялась  представительством в  ней  также  и  других партий,  кроме  большевиков.",1
66,66,"и фраза `` одеяло '' не знает счетовод этого концлагеря, одеяла бывают только свои и только у девок и у блатных.",0
67,67,"и когда невскоре я сам сказал ей, что много провел в тюрьме, она только молча покивала головой, как бы подозревала и раньше.",1
68,68,"надо  было   произвести  еще  и  ""церковную   революцию""  --  сменить руководство и поставить такое, которое лишь одно ухо наставляло бы к небу, а другое к лубянке.",1
69,69,еще  не нашли?..,1
70,70,"испуганно сжалась  свита штабных в углу, как  бы боясь разделить неслыханную опрометчивость комбрига (а политотдельцы -- и готовясь дать на комбрига материал).",1
71,71,"по уставу  записали: членом может быть происходящий из бедняцко-середняцкой и рабочей  среды (а, надо сказать, все  блатные  записывались  уч?тно-распределительной   частью  как   ""бывшие рабочие""  --  почти  сбывался  лозунг  шепчинского  ""соловки  --  рабочим  и крестьянам!"")",1
72,72,"5 изд., т.",1
73,73,"""вместе с переходящим  красным  знаменем присуждается и  духовой оркестр!",1
74,74,-- так чётко!,0
75,75,"от этой загнанной жизни священник  так измучился, что когда его  в 1942-м  вс?-таки  арестовали --  он радостно пел богу хвалу.",1
76,76,"едва  смершевцы  кончили  меня  потрошить,  вместе  с  сумкой  отобрали  мои политические  письменные  размышления,  и, угнетаемые  дрожанием  ст?кол  от немецких разрывов,  подталкивали  меня  скорей к выходу, --  раздалось вдруг твердое обращение ко мне --  да!",1
77,77,остальные расходились по  домам.,1
78,78,и лапку умеющий дать отделочнику.,0
79,79,"а вы  замечаете, как  шуруп уже плавно пошел?",1
80,80,и постепенно была одолена.,1
81,81,"вот так, и фонды целы.",1
82,82,"они отведали  самого густо-вонючего лагерного зачерпа -- и теперь просились отправить их на фронт защищать  эту лагерную систему,  и  умереть  за  не?",1
83,83,годовщины  попадаются...).,1
84,84,вс?-вс?-вс?,1
85,85,поставили по столику `` неподвижно '' перед дежурством.,0
86,86,"таков был система, завоеванный зеками гайворона их деятельностью для войска : они всю бойню выпускали фугаса.",0
87,87,"коллектив  распадался  на секции,  и  всякий  свободный  часок  они занимались  то  проверкой  быта,  то  разбором  краж  и  промотов  каз?нного имущества, то выпуском стенгазет, то разбором  дисциплинарных нарушений.",1
88,88,"по рани единственная женщина стояла там, торгуя молоком.",1
89,89,придумали заключ?нные?..,1
90,90,черные доски.,1
91,91,-- вот чем будет переделано всякое враждебное или неустойчивое  сознание.,1
92,92,"иногда главное чувство  арестованного -- облегчение  и даже... радость, но бывало это  во  времена  арестных  эпидемий:  когда вокруг берут и  берут таких, как ты,  а за тобой вс?",1
93,93,"красны, как  кровью залиты,  были  глаза.",1
94,94,"многие лагерные производства  получили  оборонные заказы  -- и оборотистые  директора  таких заводиков  иногда  умудрялись  подкармливать  зэков  добавочно,  с подсобных хозяйств.",1
95,95,"сажались  сюда еретики церковные, сажались  и еретики политические.",1
96,96,"но те, кто настаивал, знали, что ее дом можно сломать и при жизни.",1
97,97,"железная шоссе ставит обшивку, ей главного нет.",0
98,98,мне почти не слышались ее утренние хлопоты.,1
99,99,а как же быть в других всячинах?,0
100,100,"вы,  туркмен в тюбетейке -- в эту ночную мятель!",1
101,101,"уж они меченые были, и лейтенанту в воинской полвина проще всего было мотать на них, чем на свеженьких.",0
102,102,"жить-то хочется... ""я  сознаю свою преступную мягкость... я каюсь в собственной расхлябанности.."".",1
103,103,ч? рные полотенца вываренных листочков лежат в черноватой пустой воде.,0
104,104,"авторы повторяют нам все бредовые слухи тех лет как историческую несомненность: что в заводских столовых травят работниц  мышьяком; что если скисает надоенное в совхозе молоко,  то это -- не глупая  нерасторопность, но  --  расч?т врага: заставить  страну пухнуть с голоду (так и пишут).",1
105,105,"и  вдруг  после пятка  камерных романсов матрена, держась за фартук, вышла  из-за  перегородки  растепленная, с  пеленой слезы  в  неярких  своих глазах:      -- а вот это -- по-нашему... -- прошептала она.",1
106,106,вот  это  и есть --  самодеятельность  в  перевоспитании!,1
107,107,38 там же.,1
108,108,"потому что нагружены они были совершенно  одинаково: одинаковыми сосновыми бр?внами, уже лежалыми, годными на дрова.",1
109,109,(сочетание   это удивительно  лишь  поверхностному взгляду.,1
110,110,"москва гонит этапы, не считаясь  с местными силами, -- но москва ж и не  ограничивает своих чекистов никакими фальшивыми правилами: вс?,  что сделано  для порядка -- то сделано, и  ни один прокурор действительно никогда не ступит на соловецкую землю.",1
111,111,"а на остров сочтено было благом  послать  -- нет, просить поехать!",1
112,112,"по литерной заметке чс, как председатель семейства расстрелянного, она получила 8 месяцев через темлаг, и вот теперь досиживает последние недели.",0
113,113,куда перегонят.,0
114,114,трактор стих в отдалении.,1
115,115,я заметил:  у нее  было  верное средство вернуть себе доброе расположение духа -- работа.,1
116,116,"и  такое: наши все согласились, а я что -- поп, чтобы на склад бухгалтером?",1
117,117,"оттуда глуховато застучали стаканы, иногда звякала бутыль,  голоса становились  все громче, похвальба -- задорнее.",1
118,118,"и если в  цветущий июньский  день  1927  года  на кузнецком  мосту  полнолицую русокосую красавицу анну скрипникову, только что  купившую  себе синей ткани на платье, какой-то молодой франт подсаживает  на извозчика  (а извозчик уже понимает  и хмурится:  органы  не заплатят ему)  --  то знайте,  что это  не любовное свидание, а тоже  арест: они завернут сейчас  на лубянку и въедут в черную  пасть  ворот.",1
119,119,не надо ворошить прошлое!..,1
120,120,"если батальон неотклонимо навязывают, как тип бытия -- то что же делать?",0
121,121,"всего  задались цифрою  ""300"".",1
122,122,я писал  уже: а кликни малюта скуратов нас?..).,1
123,123,он просто смеялся над нами.,1
124,124,"уже  с отнятой речью  он смог прочесть лишь несколько законченных глав и убедиться, что обо всем будет рассказано.",1
125,125,"и ничего  больше вы не способны усвоить ни в первый  час,  ни в первые даже сутки.",1
126,126,доверчивые животные.,1
127,127,"как  при  сотворении  всякого  архипелага  происходят где-то  невидимые передвижки важных опорных слоев прежде, чем станет  перед нами картина мира, --  так  и  тут  происходили важнейшие  перемещения  и  переназвания,  почти недоступные нашему уму.",1
128,128,"у него нет никаких пайков, `` столиков '', `` котлов ''.",0
129,129,"2-3, стр.",1
130,130,-- а.,0
131,131,за палочки трудодней в замусленной книжке учетчика.,1
132,132,может аресты не стали бы так легки!?,1
133,133,во всем облике  старика  показалось  мне  многознание и  достойность.,1
134,134,"деятельность эта ( как бы заменяющая судьи ) была столь важна, что минвуз в отчете 1920 месяца назвал работу распредкомиссий `` нервом карательного главного ''.",0
135,135,"верней бы ответить : не учи меня гибнуть как ты хочешь, дай мне погибнуть как я хочу.",0
136,136,"до  него  был поток  29-го-30-го  годов, с добрую обь,  протолкнувший в тундру  и тайгу миллиончиков  пятнадцать мужиков (а как бы  и не поболе).",1
137,137,"1 цгаор, ф.",1
138,138,"это сейчас вот, за свою рукопись садясь, обратился я полистать современников, да и то добрые женщины помогли, ведь нигде их уже не достанешь.",0
139,139,"по долгой кривой улице нашей жизни мы счастливо неслись или несчастливо брели  мимо  каких-то  заборов,   заборов,  заборов  --  гнилых  деревянных, глинобитных дувалов, кирпичных, бетонных, чугунных оград.",1
140,140,в  деревянных  трубах пошла оз?рная вода  в монастырь.,1
141,141,7 их убрали с  соловков  лишь около 1930 г.,1
142,142,же  к  той  зиме жизнь  матрены  наладилась как никогда.,1
143,143,-- не пускают.,1
144,144,"поймали, проклятую!",0
145,145,"он все эти месяцы, когда и от мементо плугов, и тянул ремень общих деятельностей, ощущал себя не козлом никомаховой, а истым политическим и даже `` коммунистом '', как говорил в задушевных разговорах.",0
146,146,"разжившись махорки, он возвращается той же шоссе, наступая и переступая : `` так бонапарт убегал в лондон! ''",0
147,147,"даже  мне, постояльцу, было  больно, что  начнут отрывать доски и  выворачивать  бревна дома.",1
148,148,"подобно  а.  павлу и люди,  случайно  попавшие  под облаву или  на  квартиру с  засадой и имевшие смелость в те же часы бежать, еще до первого допроса --  никогда не ловились и не привлекались; а те, кто оставался  дожидаться справедливости -- получал срок.",1
149,149,ночной безумец!,1
150,150,а масловские  ромбические ворота сменили  на  металлические  и разводят уже не от руки.,1
151,151,"уходя утром на деятельность, ты ничего не должен оставить в казарме : чем побрезгуют грабители, то отберут городовы : не положено!",0
152,152,но мало кто из них мог внять истинному богатырскому смыслу неосторожной заметки.,1
153,153,"не тут-то было, сейчас  он нас ослепит: да производительным осмысленным трудом с  высокой  целью!",1
154,154,"мы уже упоминали, что он  становится  начальником экономической  части  (привилегии  вольного) и высказывает  свой  знаменитый тезис об использовании  заключ?нного в первые три месяца.",1
155,155,"вышинского, изд-во ""советское законодательство"", 1936.",1
156,156,"вот как!24 вдруг какая-то бригада выполняет дневное задание ни  с того,  ни с  сего  -- на  852%!",1
157,157,лишенники  вс?,1
158,158,--  возражали  другие.,1
159,159,"известно также, что в конце 1918 года центральный  карательный отдел (а названьице-то!",1
160,160,"(мне и действительно не видно было, только слышно.)",1
161,161,"высокий черный старик, сняв на колени  шапку, сидел на стуле, который матрена выставила ему на середину комнаты,  к  печке-""голландке"".",1
162,162,--  в окошечко?,1
163,163,отвечают  чекисты:  некогда.,1
164,164,-- никто и не долин? т.,0
165,165,не дать омрачиться глазам!,1
166,166,"говорят у нас: умная выходит после покрова', а дура --  после петрова'.",1
167,167,ох-ма!...,1
168,168,"напротив, ограничить его предтюремного тюремной казематом, двором и грядкой, дать ему шанс эти месяцы читать рукописи, писать, думать и спорить -- означает высказывание `` как со скотиной '' ( из той же `` критики '' ).",0
169,169,"(только еще лошадей вместе с заключ?нными не жалеет сталин и страна  --  а  потому что  это кулацкое  животное, и тоже должно  вымереть.)",1
170,170,"охватив визуально шеренги трехзначных, он их суммировал в разуме.",0
171,171,а  вс?-таки благородно: доверие  к  коллективу!),1
172,172,каминский не отчитывается ни в ч? якістей.,0
173,173,психолог проф.,1
174,174,а в  колхозе  она  работала не  за деньги -- за палочки.,1
175,175,и рот ваш не  заткнут.,1
176,176,"директор геологического института  академии  наук григорьев, когда  пришли  его  арестовывать в 1948 году, забаррикадировался и два часа жег бумаги.",1
177,177,девчонки-автоматы окружили е?,0
178,178,и мо?,0
179,179,"получилась у меня только щель смотровая на архипелаг, не обзор с башни.",1
180,180,он видит: отдел?нные в шинельных бушлатах с отменной выправкой приветствуют друг друга и ротных отданием воинской чести -- и они же выгоняют своих рабочих длинными палками -- дрынами (и даже глагол  уже всем понятный: дрыновать).,1
181,181,"(квч это объясняло  влиянием коллектива, мы-то понимаем, что -- обычная лагерная тухта.35)      другая  часть  лагеря  --  ""неорганизованная""  (да  ненакормленная,  да неодетая, да на тяжких работах) -- и, понятно, с нормами не справлялась.",1
182,182,"всегда они  шли  вперед,  и  матрена  не беспокоилась  -- лишь бы  не  отставали,  чтоб  утром  не  запоздниться.",1
183,183,-- и вилы свои  бери!,1
184,184,"и я пытался держаться с ним сурово и добиваться подчинения, хотя не только я и не только он, но и вся батальон видела, что я -- такой же пришл? пка, как преподаватель из окраины при посевной.",0
185,185,"но это мне и мило: тухта как-то  сроднено с русским  языком,  а туфта совсем чужое.",1
186,186,"8       11  томимый  авторским  честолюбием,  он  написал  о  беломоре  и  свою отдельную брошюру.",1
187,187,"), нельзя было думать о режиме, когда вс?",1
188,188,гулаг изнемогал.,1
189,189,"вот остановились  они,  показал  товарищ  френкель рукой, чмокнул губами товарищ фирин, ничего не сказал товарищ успенский (отцеубийца?",1
190,190,"он едва успел  начать нам рассказ, как его  сутки назад немцы  перевели через  фронт, чтоб  он  тут шпионил и  рвал  мосты,  а  он тотчас же пош?л в ближайший  батальон сдаваться,  и бессоный  измотанный комбат  никак ему  не верил, что  он  шпион,  и  посылал к сестре выпить  таблеток --  вдруг новые впечатления ворвались к нам:      --   на  оправку!",1
191,191,"больше уголовников ставилось туда (например  ""чубаровцы""  --  по нашумевшему ленинградскому процессу насильников).",1
192,192,"с 1896-го по  1900 год на кругбайкальском  участке работало  больше полутора тысяч каторжан  и 2,5 тысячи ссыльно-переселенцев.8  так  что мысль была никак не нова и не основывалась на передовых воспитательных идеях.",1
193,193,"сбоку у поезда  -- начальник   конвоя,   слева  еще  там   один   конвоир.",1
194,194,в этом маленьком сюжете -- влагу лагерного вселенной.,0
195,195,"ее  лозунг:  ""потопим  свое прошлое на дне канала!""",1
196,196,"ну,  а необходимость книги для  миллионов  читателей (многие  из  них и сами скоро должны притечь на архипелаг) понятна сама собою.",1
197,197,"строй  по десяти!""",1
198,198,"39 все эти фото -- из книги авербаха, он  предупреждает: в ней нет фото кулаков и вредителей (то есть, лучших крестьянских и интеллигентских лиц) -- мол,  ""еще  не  пришло  время""  для них.",1
199,199,"прогоняя заключ? нных через трость и пайку, тракторист должен справиться с батальоном в наличии чиновника, контроля и конвойного.",0
200,200,"7 сборник ""от тюрем..."", стр.",1
201,201,"каждый из нас  -- центр вселенной  и  мироздание раскалывается, когда  вам шипят:  ""вы арестованы!""",1
202,202,"центральный  карательный отдел нкю10, созданный в мае 1918 года, тотчас погнал тогдашних зэков на  работу  (""начал  организовывать  производительный труд"").",1
203,203,"82       17  таким  образом  --  одна  из  самых  ранних  ш а р а ш е к, райских островов.",1
204,204,и --  величественная гостиница  с  5-этажной стеклянной башней.,1
205,205,бесконечный неделю.,0
206,206,ни город.,1
207,207,"а мы  нашли дверь незапертую, вперлись прям так,  без билетов -- а вагоны-то все простые идут, все  простые, хоть на полке растягивайся.",1
208,208,так не покинет!,1
209,209,какие   еще   там  политбеседы?,1
210,210,"всегда у нее бывала святая вода, а  на этот год не стало.",1
211,211,"16 ""беломоро-балтийский канал"", с.",1
212,212,"как  трудно  эти  слова забываются,  как  легко вспоминаются!)",1
213,213,"и перевед?нные  из березников, где тоже по 12 часов работали, находили, что здесь -- тяжелей.",1
214,214,и выход был: запереться и лечь спать.,1
215,215,"кира привезла из московской области пуд сахару, матрена васильевна под покровом ночи носила тот сахар и бутыли самогонщику.",1
216,216,дом не низкий --  восемнадцать  венцов.,1
217,217,"а мы  и  с большевиками сдружимся, мы люди  дела!)",1
218,218,"29 ""власть советов"", 1919, no.",1
219,219,"ну, хотя бы  вот эти:  м. горький.",1
220,220,каждая проходка -- день.,1
221,221,"принесли воры,  а обучили весь русский народ, так пусть и будет тухта.",1
222,222,"он был из тех удачливых деятелей,  которых история уже  с голодом ждет  и зазывает.",1
223,223,простые крестьянские лица.39 а в проходе встрял самоохранник.,1
224,224,"своих-то, вольных, рабочих сплавконторе тоже надо кормить, нормативы тоже непосильны.",0
225,225,стаей и с грустью : `` нина иванович!,0
226,226,в котелке?,1
227,227,зарин только рассмеялся.,1
228,228,"но когда власть  перешла в  руки трудящихся, --  что ж  стало  делать с этими    злостными    тунеядцами   монахами?",1
229,229,да неужели же нам идти в вцспс?,1
230,230,всходящее луна озаряет е?,0
231,231,наконец  ужин кончился.,1
232,232,"знает, что я службу знаю.",1
233,233,"гаврик на мылге оформлял  это картинно:  впереди на лошадях ехали с факелами (полярная ночь), а  сзади на вер?вках  волокли по земле  за  новым делом в райнквд (30 километров).",1
234,234,"ухудшались с  каждым  годом и сами продукты:  овощи заменялись  кормовою репой, крупы -- викой и отрубями.",1
235,235,"а  чтобы  распад партий был необратим -- надо было еще, чтобы распались и сами члены этих партий, тела этих членов.",1
236,236,она им отвечала:      -- вам нужно -- вы и спрашивайте.,1
237,237,"украшалась лагерная жизнь  с  одной  стороны  доносами провокаторов  (и арестами по доносам), с  другой  -- драматическим и хоровым кружком.",1
238,238,"это  ложным оправдывающим светом  падало  на   нитки  колючей  проволоки,  на  гражданина  начальника, трясущего  пальцем, --  и, умирая  е?",1
239,239,вечная память!,1
240,240,"здравствуй, первая карантинная  рота!..",1
241,241,"доползя  до  северной двины, лагерные  клеточки образовали севдвинлаг.",1
242,242,я откинулся -- и в первый раз совсем по-новому увидел матрену.,1
243,243,а дней в зиме двести.,1
244,244,а  как  с выходными  у  миссисипи?..,1
245,245,тебя хотят на всю быт проучить.,0
246,246,"и комиссия вцик под председательством ""совести партии"" товарища  сольца поехала узнать, что' там делается, на этих соловках (они же ничего не знали!..).",1
247,247,кондостров был почти узаконен.,1
248,248,(иногда -- и чистый случай.,1
249,249,бывший  кадетский лидер  некрасов (он ли?).,1
250,250,крепостной не мог жениться без произволения барыни -- и уж тем более заключ? нный только при прощении замначальника мог обзавестись лагерной мужем.,0
251,251,"а иначе б -- со святыми помоги, вокруг ноги -- и все.",1
252,252,"в  организации этих всех потоков было до 1922  года отсутствие уголовного кодекса, какой-либо системы уголовных  законов.",1
253,253,"что' вцик,  какой вцик?",1
254,254,главное-то -- достигнуто?,0
255,255,тогда-то  начальники конвоев  стали  проверять  точность  пулеметной пристрелки по  спотыкающимся зэкам.,1
256,256,6 июля 1918 года они были поголовно все исключены из вцика  и  снк.,1
257,257,"он сохнет до осени, а то и до снега, если дорога не станет или трест затомошился.",1
258,258,о бо'льшей  части первых  концлагерей нам  уже никто  не расскажет.,1
259,259,"вероятно  расстрелянный, он так и не  узнал,  как жестоко ошибся.",1
260,260,"соловецкая земля оказалась не только святой, но и богатой, способной кормить тут  многие  тысячи.2  огороды растили  плотную белую  сладкую капусту (кочерыжки --  ""соловецкие яблоки"").",1
261,261,"в 37-м году на базаре к нему подошел мужик и от кого-то передал: ""александр иваныч, уезжай, ты в списках!""",1
262,262,2. а вот почему.,0
263,263,двадцать  месяцев!,1
264,264,"биб-ка,  соловецкий патерик)  18  июня 1712 г. иеромонаху иову  под этою горой во время  ночного молитвенного  бдения явилась богоматерь  ""в небесной славе"" и  сказала: ""сия гора  отселе  будет  называться  голгофою  и  на  ней  устроится  церковь  и распятский скит.",1
265,265,"тальновские бабы  установили  доточно,  что одной вскопать свой огород лопатою тяжеле  и дольше,  чем,  взяв  соху  и вшестером  впрягшись,  вспахать  на себе  шесть огородов.",1
266,266,я кусаю польнущих? к и колеблюсь -- на что мне косить : -- на физику или на интеллигенция?,0
267,267,"однако  вот  беда:  первое  советское правительство было  коалиционным, часть  наркоматов пришлось-таки  отдать левым  эсерам,  и  в  том  числе  по несчастью  попал   в  их  руки   наркомат  юстиции.",1
268,268,только с украины-то вырваться умели не все.,1
269,269,а   в   гробу   лежала  матрена.,1
270,270,"такая концепция разрешает кого угодно арестовывать как заложницы, как `` физиономию, находящееся под подозрением '' ( депеша сталина татьяне норт ), даже целые нации ссылать по предположениям их угрозы ( образчики известны ), -- но надо быть жонглером первого сословия, чтобы при всем этом еще строить и содержать в начищенном положении концепцию уточнения.",0
271,271,снова!,1
272,272,"определ? ф был каждому свой полукруг быта и гибели ; при первом рассмотрении попавший к тонкорунным, как тонкорунный должен был и околеть.",0
273,273,"но больше того: руководителей лагеря он взволновал предположениями, что  здесь зарыты монахами многие клады -- и так создали под  его началом раскопочную  комиссию.",1
274,274,"легковерные ждали конца своего трехлетнего  срока, провидчивые уже  понимали,  что ни  через  три, ни через двадцать три года не видать им свободы.",1
275,275,но ведь кто-то же и подарил им эти три дня.,1
276,276,на собрании  коллективов  часами с важностью разбирался вопрос: как  перековать лентяя вовку?,1
277,277,"это вот что  такое: тяжелые  деревянные  площадки, положенные на четыре круглых деревянных  обрубка (катка) -- две лошади тащат такой  форд  и  отвозят  камни.",1
278,278,"новый  (к 1930 году)  начальник услона ногтев (тот  самый начальник савватиевского скита, который расстреливал социалистов) под ""шепот удивления в изумл?нном зале"" докладывал вольняшкам города кеми такие цифры: ""не считая собственных  лесоразработок   услона,  растущих  совершенно  исключительными темпами"",  услон только по ""внешним"" заказам желлеса и кареллеса заготовлял: в 1926 г.",1
279,279,"правда, в послеоктябрьское горячее период было не до этих нюансов, и еще гуманнее казалось просто расстреливать.",0
280,280,"постановлено было:1 к классовым врагам и классово-чуждым элементам применять суровые меры репрессии, устрожить лагерный  режим  (а социально-неустойчивым вовсе  не  давать  сроков).",1
281,281,"лагеря должны были  содержать каждый  не  менее трехсот  человек (дабы трудом  заключ?нных окупались  и охрана,  и администрация) и  находиться  в  ведении  губернских карательных отделов.",1
